# Data for PCA
#
# animal class: 0 fish, 1 amphibian, 2 reptilian, 3 bird, 4 mammal
# svg file name, animal class, wings, floored_legs, weight
#
Afrikanischer_Elefant,4,0,2,4000
Amerikanischer_Flussbarsch,0,0,0,2
Archaeopteryx,3,1,1,1
Blauwal,4,0,0,120000
Brachiosaurus,2,0,2,25000
Chamaeleon,2,0,2,1
Dimetrodon,2,0,2,250
Dromedar,4,0,2,500
Elster,3,1,1,0.2
Forelle,0,0,0,10
Frosch,1,0,2,0.01
Gaemse,4,0,2,40
Giraffe,4,0,2,1500
Gnu,4,0,2,200
Groenlandwal,4,0,0,70000
Ichthyornis,3,1,1,0.3
Ichthyosaurus,2,0,0,90
Ichthyostega,1,0,2,80
Kaenguru,4,0,1,50
Kaffernbueffel,4,0,2,500
Kaninchen,4,0,2,1
Klippschliefer,4,0,2,4
Koboldmaki,4,0,2,0.1
Krokodil,2,0,2,500
Landschildkroete,2,0,2,50
Ohrenrobbe,4,0,1,200
Panzerspitzmaus,4,0,2,0.1
Parasaurolophus_walkeri,2,0,2,4000
Peloneustes_philarchus,2,0,0,100
Pferd,4,0,2,600
Pottwal,4,0,0,50000
Rothirsch,4,0,2,200
Schlange,2,0,0,50
Schwan,3,1,1,14
Schwein,4,0,2,100
Seehund,4,0,1,100
Sinornis,3,1,1,0.02
Stegosaurus,2,0,2,4500
Strauss,3,1,1,135
Taube,3,1,1,1
Thrinaxodon,2,0,2,2
Triceratops,2,0,2,10000
Tyrannosaurus_Rex,2,0,1,9000
Urpferdchen,4,0,2,30
